,batch_size,max_epochs,learning_rate,memory_size,model
151,256,5,0.005,12000,bi-rnn.py
152,256,10,0.01,6000,lenet5.py
153,256,10,0.01,6000,bi-rnn.py
154,256,10,0.01,12000,lenet5.py
155,256,10,0.01,12000,bi-rnn.py
156,256,10,0.005,6000,lenet5.py
157,256,10,0.005,6000,bi-rnn.py
158,256,10,0.005,12000,lenet5.py
159,256,10,0.005,12000,bi-rnn.py
160,128,20,0.01,6000,lenet5.py
161,128,20,0.01,6000,bi-rnn.py
162,128,20,0.01,12000,lenet5.py
163,128,20,0.01,12000,bi-rnn.py
164,128,20,0.005,6000,lenet5.py
165,128,20,0.005,6000,bi-rnn.py
166,128,20,0.005,12000,lenet5.py
167,128,20,0.005,12000,bi-rnn.py
168,256,20,0.01,6000,lenet5.py
169,256,20,0.01,6000,bi-rnn.py
170,256,20,0.01,12000,lenet5.py
171,256,20,0.01,12000,bi-rnn.py
172,256,20,0.005,6000,lenet5.py
173,256,20,0.005,6000,bi-rnn.py
174,256,20,0.005,12000,lenet5.py
175,256,20,0.005,12000,bi-rnn.py
176,128,20,0.01,6000,lenet5.py
177,128,20,0.01,6000,bi-rnn.py
178,128,20,0.01,12000,lenet5.py
179,128,20,0.01,12000,bi-rnn.py
180,128,20,0.005,6000,lenet5.py
181,128,20,0.005,6000,bi-rnn.py
182,128,20,0.005,12000,lenet5.py
183,128,20,0.005,12000,bi-rnn.py
184,256,20,0.01,6000,lenet5.py
185,256,20,0.01,6000,bi-rnn.py
186,256,20,0.01,12000,lenet5.py
187,256,20,0.01,12000,bi-rnn.py
188,256,20,0.005,6000,lenet5.py
189,256,20,0.005,6000,bi-rnn.py
190,256,20,0.005,12000,lenet5.py
191,256,20,0.005,12000,bi-rnn.py
192,128,20,0.01,6000,lenet5.py
193,128,20,0.01,6000,bi-rnn.py
194,128,20,0.01,12000,lenet5.py
195,128,20,0.01,12000,bi-rnn.py
196,128,20,0.005,6000,lenet5.py
197,128,20,0.005,6000,bi-rnn.py
198,128,20,0.005,12000,lenet5.py
199,128,20,0.005,12000,bi-rnn.py
200,256,20,0.01,6000,lenet5.py
201,256,20,0.01,6000,bi-rnn.py
202,256,20,0.01,12000,lenet5.py
203,256,20,0.01,12000,bi-rnn.py
204,256,20,0.005,6000,lenet5.py
205,256,20,0.005,6000,bi-rnn.py
206,256,20,0.005,12000,lenet5.py
207,256,20,0.005,12000,bi-rnn.py
208,128,20,0.01,6000,lenet5.py
209,128,20,0.01,6000,bi-rnn.py
210,128,20,0.01,12000,lenet5.py
211,128,20,0.01,12000,bi-rnn.py
212,128,20,0.005,6000,lenet5.py
213,128,20,0.005,6000,bi-rnn.py
214,128,20,0.005,12000,lenet5.py
215,128,20,0.005,12000,bi-rnn.py
216,256,20,0.01,6000,lenet5.py
217,256,20,0.01,6000,bi-rnn.py
218,256,20,0.01,12000,lenet5.py
219,256,20,0.01,12000,bi-rnn.py
220,256,20,0.005,6000,lenet5.py
221,256,20,0.005,6000,bi-rnn.py
222,256,20,0.005,12000,lenet5.py
223,256,20,0.005,12000,bi-rnn.py
224,128,20,0.01,6000,lenet5.py
225,128,20,0.01,6000,bi-rnn.py
226,128,20,0.01,12000,lenet5.py
227,128,20,0.01,12000,bi-rnn.py
228,128,20,0.005,6000,lenet5.py
229,128,20,0.005,6000,bi-rnn.py
230,128,20,0.005,12000,lenet5.py
231,128,20,0.005,12000,bi-rnn.py
232,256,20,0.01,6000,lenet5.py
233,256,20,0.01,6000,bi-rnn.py
234,256,20,0.01,12000,lenet5.py
235,256,20,0.01,12000,bi-rnn.py
236,256,20,0.005,6000,lenet5.py
237,256,20,0.005,6000,bi-rnn.py
238,256,20,0.005,12000,lenet5.py
239,256,20,0.005,12000,bi-rnn.py
