Index,setup,batch_size,max_epochs,learning_rate,memory_size,model,accuracy,training_time
90,standard,256,20,0.01,12000,lenet5.py,0.949,305662.277236
91,standard,256,20,0.01,12000,bi-rnn.py,0.4915,602358.490806
92,standard,256,20,0.005,6000,lenet5.py,0.9097,311766.500125
93,standard,256,20,0.005,6000,bi-rnn.py,0.2464,610946.182859
94,standard,256,20,0.005,12000,lenet5.py,0.9192,303613.650747
95,standard,256,20,0.005,12000,bi-rnn.py,0.241,614509.054023
96,standard,128,5,0.01,6000,lenet5.py,0.9275,155218.707337
97,standard,128,5,0.01,6000,bi-rnn.py,0.3207,240561.585531
98,standard,128,5,0.01,12000,lenet5.py,0.9235,154123.24995
99,standard,128,5,0.01,12000,bi-rnn.py,0.2671,241503.589551
100,standard,128,5,0.005,6000,lenet5.py,0.8857,155170.813033
101,standard,128,5,0.005,6000,bi-rnn.py,0.1794,241377.013115
102,standard,128,5,0.005,12000,lenet5.py,0.8851,152808.048121
103,standard,128,5,0.005,12000,bi-rnn.py,0.2037,239077.857411
104,standard,128,10,0.01,6000,lenet5.py,0.949,281378.922688
105,standard,128,10,0.01,6000,bi-rnn.py,0.4916,461771.686064
106,standard,128,10,0.01,12000,lenet5.py,0.9428,275485.167238
107,standard,128,10,0.01,12000,bi-rnn.py,0.4938,455575.264704
108,standard,128,10,0.005,6000,lenet5.py,0.916,276823.224081
109,standard,128,10,0.005,6000,bi-rnn.py,0.2594,458964.83197
110,standard,128,10,0.005,12000,lenet5.py,0.9118,279198.211637
111,standard,128,10,0.005,12000,bi-rnn.py,0.2916,454488.224884
112,standard,128,20,0.01,6000,lenet5.py,0.9616,531360.025162
113,standard,128,20,0.01,6000,bi-rnn.py,0.6976,877058.013407
114,standard,128,20,0.01,12000,lenet5.py,0.9535,524327.327184
115,standard,128,20,0.01,12000,bi-rnn.py,0.7233,881095.207888
116,standard,128,20,0.005,6000,lenet5.py,0.9359,526643.377526
117,standard,128,20,0.005,6000,bi-rnn.py,0.4195,883445.025551
118,standard,128,20,0.005,12000,lenet5.py,0.934,518531.032635
119,standard,128,20,0.005,12000,bi-rnn.py,0.4472,887227.722855
120,standard,256,5,0.01,6000,lenet5.py,0.8922,92496.46359
121,standard,256,5,0.01,6000,bi-rnn.py,0.1954,165477.710519
122,standard,256,5,0.01,12000,lenet5.py,0.9,91476.85645
123,standard,256,5,0.01,12000,bi-rnn.py,0.1856,163460.317243
124,standard,256,5,0.005,6000,lenet5.py,0.8364,93320.172087
125,standard,256,5,0.005,6000,bi-rnn.py,0.1422,164714.656898
126,standard,256,5,0.005,12000,lenet5.py,0.8105,92459.386554
127,standard,256,5,0.005,12000,bi-rnn.py,0.1365,163803.929496
128,standard,256,10,0.01,6000,lenet5.py,0.9327,164472.931587
129,standard,256,10,0.01,6000,bi-rnn.py,0.3278,311505.382361
130,standard,256,10,0.01,12000,lenet5.py,0.9154,166520.787087
131,standard,256,10,0.01,12000,bi-rnn.py,0.3249,310221.576699
132,standard,256,10,0.005,6000,lenet5.py,0.8878,166113.635231
133,standard,256,10,0.005,6000,bi-rnn.py,0.1995,309074.290687
134,standard,256,10,0.005,12000,lenet5.py,0.8837,167931.10917
135,standard,256,10,0.005,12000,bi-rnn.py,0.1695,310400.341712
136,standard,256,20,0.01,6000,lenet5.py,0.9543,303922.748939
137,standard,256,20,0.01,6000,bi-rnn.py,0.4579,597628.119519
138,standard,256,20,0.01,12000,lenet5.py,0.9534,305471.700855
